TYPE,SUBLOCALITY,PRICE,PROPERTYSQFT,BEDS,BATH
Land for sale,Kings County,350000,1520.0,3,1.0
Land for sale,Richmond County,150000,301.0,3,1.0
Land for sale,Kings County,3600000,3040.0,3,4.0
Land for sale,Richmond County,150000,301.0,3,1.0
Land for sale,New York,199000,301.0,3,1.0
Land for sale,Bronx,2000000,3500.0,3,2.0
Land for sale,Queens,2200000,950.0,3,2.0
Land for sale,Queens,650000,1606.0,3,2.0
Land for sale,Richmond County,149000,301.0,3,1.0
Land for sale,Kings County,799999,3510.0,3,2.0
House for sale,Queens,299000,2000.0,5,2.0
Land for sale,Kings County,265000,301.0,3,1.0
Land for sale,Bronx,795000,1171.0,3,2.0
Land for sale,Bronx,1245000,1550.0,3,2.0
Land for sale,Kings County,549000,1424.0,3,2.0
Land for sale,Kings County,299000,640.0,3,1.0
Pending,Kings County,675000,1444.0,3,2.0
House for sale,Queens,759999,1648.0,4,2.0
Co-op for sale,Queens,295000,1100.0,3,1.0
Multi-family home for sale,Queens,950000,1872.0,6,2.0
Townhouse for sale,Queens,11000000,7723.0,5,6.0
Land for sale,Richmond County,348000,301.0,3,1.0
Pending,New York,13500000,4230.0,5,7.0
Multi-family home for sale,Kings County,825000,4125.0,12,6.0
Co-op for sale,Queens,259500,950.0,2,1.0
Multi-family home for sale,Queens,1150000,2905.0,5,3.0
Land for sale,Bronx,1395000,2627.0,3,2.0
House for sale,Queens,1675000,2364.0,4,5.0
Co-op for sale,New York,449500,725.0,1,1.0
House for sale,Queens,625000,1280.0,3,2.0
Co-op for sale,New York,275000,550.0,3,1.0
Multi-family home for sale,Queens,849000,2200.0,6,5.0
Co-op for sale,Queens,235000,1400.0,3,1.0
House for sale,Queens,399999,1089.0,2,1.0
Condo for sale,Brooklyn,485000,701.0,3,2.0
Co-op for sale,Brooklyn,565000,769.0,1,1.0
Multi-family home for sale,Kings County,849000,2217.0,4,3.0
Co-op for sale,Queens,199000,1453.0,2,1.0
House for sale,Queens,899000,1200.0,4,2.0
Multi-family home for sale,Kings County,1250000,1800.0,7,4.0
Multi-family home for sale,Kings County,1488000,3144.0,6,2.0
Land for sale,Queens,285000,1180.0,3,1.0
Multi-family home for sale,Queens,699000,1300.0,3,3.0
Pending,Queens,309000,381.0,3,2.0
House for sale,Queens,999000,1305.0,4,2.0
Co-op for sale,Queens,278500,810.0,2,1.0
Co-op for sale,New York,738000,830.0,3,2.0
Condo for sale,New York,388000,500.0,3,1.0
Multi-family home for sale,Queens,1399000,2245.0,6,2.0
Pending,Queens,999000,1900.0,5,2.0
Condo for sale,Queens,575000,1253.0,2,2.0
Pending,Queens,659900,1606.0,3,4.0
Multi-family home for sale,Kings County,799000,1750.0,6,2.0
Condo for sale,Queens,550000,721.0,2,2.0
Co-op for sale,New York,775000,1880.0,3,1.0
Co-op for sale,Brooklyn,410000,681.0,1,1.0
Co-op for sale,Queens,325000,925.0,2,1.0
House for sale,Queens,930000,1070.0,3,2.0
Multi-family home for sale,Kings County,300000,1572.0,3,4.0
Co-op for sale,Brooklyn,299000,1200.0,3,1.0
Co-op for sale,Queens,259000,950.0,2,1.0
Co-op for sale,Queens,425000,1000.0,2,1.0
Co-op for sale,Queens,259000,950.0,2,1.0
Multi-family home for sale,Bronx,689000,3053.0,6,3.0
Co-op for sale,Queens,419000,1000.0,2,1.0
House for sale,Kings County,1199000,1840.0,4,2.0
House for sale,Kings County,2150000,3424.0,4,4.0
House for sale,Queens,675000,1376.0,3,2.0
Co-op for sale,New York,875000,940.0,2,1.0
Co-op for sale,Queens,219000,1000.0,2,1.0
Condo for sale,New York,470000,766.0,2,1.0
Pending,Queens,1199000,1800.0,5,4.0
House for sale,Queens,550000,1221.0,3,2.0
Co-op for sale,Queens,369888,900.0,2,2.0
Co-op for sale,New York,500000,686.0,2,2.0
Multi-family home for sale,Queens,499000,2248.0,4,3.0
House for sale,Richmond County,650000,1110.0,3,2.0
Co-op for sale,The Bronx,1235000,995.0,3,2.0
Co-op for sale,New York,785000,800.0,1,1.0
Multi-family home for sale,Queens,1400000,3210.0,3,3.0
Co-op for sale,Queens,324000,713.0,1,1.0
Multi-family home for sale,Kings County,2295000,3000.0,3,7.0
Co-op for sale,Brooklyn,185000,600.0,1,1.0
Pending,New York,700000,1238.0,2,1.0
Condo for sale,Queens,609000,705.0,2,2.0
House for sale,Queens,689000,4000.0,3,2.0
Multi-family home for sale,Queens,585000,1591.0,4,2.0
Co-op for sale,Queens,299000,1300.0,2,1.0
House for sale,Queens,235000,1224.0,3,2.0
Co-op for sale,New York,17900000,4200.0,6,4.0
House for sale,Kings County,650000,4004.0,5,3.0
House for sale,Queens,999000,1260.0,3,2.0
Multi-family home for sale,New York,1590000,2424.0,5,6.0
House for sale,Kings County,799000,2279.0,3,2.0
Multi-family home for sale,Queens,985000,1872.0,6,5.0
Pending,Kings County,2500000,2840.0,3,2.0
Co-op for sale,New York,260000,613.0,2,1.0
Pending,Kings County,2500000,2840.0,3,2.0
Co-op for sale,Queens,220000,792.0,1,1.0
House for sale,Queens,625000,1280.0,3,1.0
House for sale,Queens,899000,1260.0,3,2.0
Multi-family home for sale,Bronx,650000,2310.0,6,2.0
Multi-family home for sale,Kings County,899999,3116.0,8,4.0
House for sale,Kings County,799000,1744.0,4,3.0
Co-op for sale,Queens,115000,512.0,3,1.0
Multi-family home for sale,Queens,1275000,2500.0,5,3.0
Condo for sale,Queens,410000,1249.0,2,2.0
House for sale,Queens,879000,1743.0,3,3.0
Multi-family home for sale,Kings County,1195000,5100.0,16,8.0
House for sale,Queens,868000,1452.0,3,2.0
Multi-family home for sale,Queens,1770000,4600.0,7,4.0
House for sale,Queens,818000,1320.0,3,3.0
House for sale,Queens,409000,1800.0,4,2.0
Co-op for sale,Queens,259000,650.0,1,1.0
Multi-family home for sale,New York,7999000,12492.0,20,10.0
House for sale,Queens,1788888,2716.0,4,4.0
Co-op for sale,The Bronx,109000,650.0,1,1.0
Co-op for sale,Queens,368000,950.0,2,2.0
Co-op for sale,Queens,365000,950.0,2,1.0
Townhouse for sale,New York,25500000,7058.0,5,6.0
House for sale,Queens,825000,1320.0,3,2.0
House for sale,Bronx,889000,1890.0,3,2.0
House for sale,Kings County,779000,1473.0,2,2.0
Co-op for sale,The Bronx,480000,1200.0,3,2.0
House for sale,Queens,820000,1680.0,4,3.0
House for sale,Queens,709999,1379.0,4,2.0
Co-op for sale,Kings County,699000,700.0,1,1.0
House for sale,Queens,1790000,2716.0,4,2.0
Multi-family home for sale,Queens,1175000,2538.0,9,3.0
House for sale,Bronx,579000,1500.0,4,2.0
Co-op for sale,Queens,305000,600.0,2,1.0
House for sale,Kings County,428000,2256.0,3,3.0
Co-op for sale,New York,639000,687.0,1,1.0
House for sale,Kings County,835000,1080.0,3,2.0
House for sale,Queens,705000,1440.0,2,2.0
Co-op for sale,New York,549000,700.0,1,1.0
House for sale,Queens,599000,1340.0,3,2.0
Co-op for sale,Bronx,295000,750.0,1,1.0
House for sale,Bronx,560000,1890.0,3,2.0
Co-op for sale,New York,549000,700.0,1,1.0
Co-op for sale,Bronx,295000,750.0,1,1.0
House for sale,Queens,850000,1320.0,3,2.0
Multi-family home for sale,Kings County,750000,1800.0,3,2.0
Multi-family home for sale,Kings County,625000,2000.0,5,2.0
Co-op for sale,New York,580000,712.0,1,1.0
Co-op for sale,Queens,887785,1549.0,2,2.0
Condo for sale,Queens,699900,631.0,1,1.0
Co-op for sale,New York,999000,1050.0,2,2.0
Co-op for sale,Queens,188000,500.0,3,1.0
Co-op for sale,New York,545000,700.0,1,1.0
Condo for sale,Queens,705000,1124.0,2,2.0
House for sale,Queens,1289000,1700.0,4,4.0
Co-op for sale,Queens,389000,920.0,2,1.0
Co-op for sale,Brooklyn,350000,825.0,2,1.0
House for sale,Queens,1289000,1700.0,4,4.0
Co-op for sale,Brooklyn,350000,825.0,2,1.0
Condo for sale,New York,295000,500.0,3,1.0
Multi-family home for sale,Queens,918000,1480.0,4,3.0
Co-op for sale,New York,310000,613.0,2,1.0
Co-op for sale,New York,479000,615.0,1,1.0
House for sale,Queens,1290000,1700.0,4,3.0
House for sale,Queens,899000,1260.0,3,2.0
House for sale,Queens,1150000,2192.0,5,3.0
Multi-family home for sale,Kings County,499000,1780.0,5,2.0
Condo for sale,Queens,929000,1750.0,3,2.0
Co-op for sale,Queens,315000,925.0,2,1.0
House for sale,Queens,849000,1680.0,4,3.0
Condo for sale,Queens,290000,613.0,1,1.0
Condo for sale,Queens,290000,613.0,1,1.0
Co-op for sale,Kings County,550000,975.0,2,1.0
Co-op for sale,New York,525000,322.0,3,1.0
Condo for sale,Queens,345000,616.0,1,1.0
Multi-family home for sale,Queens,699000,1591.0,4,2.0
House for sale,Queens,1120000,1100.0,3,2.0
House for sale,Queens,858000,950.0,2,2.0
Co-op for sale,New York,895000,940.0,2,2.0
Multi-family home for sale,Queens,1788000,2200.0,6,5.0
House for sale,Queens,879000,1743.0,3,2.0
Multi-family home for sale,Kings County,998000,6240.0,11,6.0
Condo for sale,Staten Island,410000,840.0,2,1.0
Multi-family home for sale,Bronx,1195000,4350.0,11,6.0
Multi-family home for sale,Queens,940000,3168.0,9,4.0
House for sale,Queens,865000,1452.0,3,3.0
Co-op for sale,Queens,330000,1200.0,3,1.0
Co-op for sale,Queens,800000,1549.0,2,2.0
House for sale,Queens,1295000,2046.0,3,1.0
Co-op for sale,The Bronx,262500,900.0,1,1.0
Co-op for sale,New York,850000,1100.0,1,1.0
Multi-family home for sale,Kings County,699000,3490.0,6,2.0
House for sale,Queens,800000,1344.0,3,2.0
Multi-family home for sale,Queens,1275000,2648.0,3,4.0
Co-op for sale,New York,999000,1050.0,2,1.0
Co-op for sale,Queens,279000,810.0,2,1.0
Co-op for sale,New York,999000,1750.0,3,2.0
Mobile house for sale,Queens,1288000,3608.0,6,3.0
House for sale,Queens,1630000,2418.0,7,4.0
Co-op for sale,Queens,378000,900.0,2,1.0
Co-op for sale,Queens,149000,792.0,1,1.0
Co-op for sale,Queens,195000,600.0,1,1.0
Townhouse for sale,Queens,815000,1184.0,3,2.0
Multi-family home for sale,Queens,989000,1738.0,5,3.0
Condo for sale,New York,1075000,1334.0,2,2.0
Co-op for sale,New York,999995,1050.0,2,1.0
Co-op for sale,Queens,445000,1026.0,3,2.0
House for sale,Queens,2299000,4443.0,6,4.0
House for sale,Queens,849000,1320.0,3,2.0
Co-op for sale,New York,435000,475.0,3,1.0
Pending,Kings County,800000,1170.0,3,2.0
Townhouse for sale,Kings County,10975000,3375.0,3,4.0
House for sale,Queens,599000,1682.0,4,2.0
House for sale,Kings County,699999,936.0,4,2.0
Co-op for sale,New York,370000,440.0,3,1.0
Townhouse for sale,Kings County,1499000,3519.0,9,6.0
Co-op for sale,New York,299000,650.0,1,1.0
Multi-family home for sale,Queens,1049000,1155.0,3,2.0
Multi-family home for sale,Queens,1049000,1155.0,3,2.0
Co-op for sale,New York,495000,615.0,1,1.0
Condo for sale,Queens,509000,1156.0,3,1.0
Townhouse for sale,Kings County,2995000,2800.0,4,6.0
Multi-family home for sale,Bronx,350000,960.0,3,2.0
Co-op for sale,Queens,269000,700.0,1,1.0
House for sale,Bronx,7500000,10100.0,6,6.0
Townhouse for sale,New York,9950000,8000.0,10,10.0
Co-op for sale,New York,60000000,6000.0,8,8.0
Co-op for sale,Queens,329000,681.0,1,1.0
Multi-family home for sale,Kings County,560000,1560.0,3,3.0
Co-op for sale,Queens,169999,1453.0,2,1.0
Co-op for sale,Queens,448000,1026.0,3,1.0
House for sale,Queens,978000,1776.0,3,2.0
House for sale,Queens,611999,1280.0,3,2.0
House for sale,Richmond County,319000,1224.0,3,1.0
Pending,Richmond County,1250000,3600.0,6,4.0
Co-op for sale,New York,350000,850.0,2,1.0
Condo for sale,Queens,450000,1249.0,2,1.0
Multi-family home for sale,Queens,2495000,21000.0,3,4.0
House for sale,Queens,1350000,2046.0,3,3.0
Multi-family home for sale,Kings County,799999,1750.0,6,2.0
Pending,Queens,1399000,1800.0,5,4.0
Multi-family home for sale,Queens,948000,3978.0,7,3.0
Pending,Queens,1399000,1800.0,5,4.0
House for sale,Queens,880000,1743.0,3,2.0
Co-op for sale,New York,2250000,3860.0,4,3.0
Co-op for sale,New York,319000,450.0,3,1.0
Multi-family home for sale,Kings County,1300000,3496.0,6,3.0
Co-op for sale,New York,399000,675.0,1,1.0
House for sale,Kings County,2250000,3432.0,6,4.0
Co-op for sale,New York,359000,800.0,1,1.0
Multi-family home for sale,Queens,2280000,2700.0,6,5.0
Co-op for sale,Queens,278999,750.0,1,1.0
Multi-family home for sale,Queens,2280000,2700.0,6,5.0
Multi-family home for sale,Kings County,625000,2000.0,5,2.0
Townhouse for sale,Kings County,1050000,1874.0,4,1.0
Co-op for sale,New York,225000,500.0,3,1.0
Co-op for sale,Queens,259000,650.0,1,1.0
House for sale,Kings County,599000,1340.0,3,2.0
Townhouse for sale,New York,10999000,5771.0,5,7.0
House for sale,Bronx,2750000,5150.0,4,4.0
Townhouse for sale,New York,25000000,7110.0,6,8.0
Co-op for sale,Queens,119888,792.0,1,1.0
House for sale,Queens,749000,992.0,2,1.0
House for sale,Queens,859000,1320.0,3,3.0
Pending,Brooklyn,599999,1200.0,2,2.0
Pending,Bronx,485000,1634.0,6,3.0
Co-op for sale,Queens,320000,750.0,1,1.0
Townhouse for sale,Kings County,3995000,4296.0,5,6.0
Multi-family home for sale,Queens,1175000,1810.0,6,5.0
Townhouse for sale,Richmond County,549990,1150.0,3,2.0
Multi-family home for sale,New York,34000000,65535.0,3,8.0
Multi-family home for sale,Kings County,1550000,3144.0,6,6.0
Co-op for sale,New York,265000,650.0,1,1.0
Land for sale,New York,1200000,3812.0,3,2.0
Co-op for sale,Queens,325000,925.0,2,1.0
House for sale,Queens,755000,992.0,2,2.0
Co-op for sale,The Bronx,325000,950.0,2,2.0
Co-op for sale,New York,1395000,1250.0,2,1.0
Multi-family home for sale,Kings County,1358000,3000.0,6,3.0
House for sale,Bronx,1650000,2948.0,5,4.0
Co-op for sale,Brooklyn,680000,440.0,1,1.0
Co-op for sale,New York,300000,800.0,1,1.0
Co-op for sale,New York,330000,900.0,1,2.0
House for sale,Queens,699000,1440.0,2,2.0
Co-op for sale,New York,875000,1100.0,1,1.0
Co-op for sale,Jackson Heights,985000,1993.0,3,2.0
Townhouse for sale,New York,5950000,4375.0,4,4.0
Condo for sale,Queens,569000,1253.0,2,2.0
Co-op for sale,New York,4995000,3594.0,4,3.0
House for sale,Queens,549000,640.0,1,2.0
Multi-family home for sale,Kings County,999000,1660.0,5,3.0
Co-op for sale,Queens,549000,1200.0,2,1.0
Co-op for sale,New York,1195000,650.0,2,2.0
Co-op for sale,Queens,200000,600.0,1,1.0
Co-op for sale,New York,1775000,1150.0,2,2.0
Multi-family home for sale,Kings County,1059000,2134.0,6,3.0
Co-op for sale,Queens,232500,750.0,1,1.0
Co-op for sale,New York,250000,500.0,3,1.0
Co-op for sale,Queens,430000,900.0,2,1.0
Co-op for sale,New York,299000,394.0,3,1.0
Co-op for sale,Queens,299000,700.0,1,1.0
Co-op for sale,Brooklyn,699999,1200.0,3,2.0
Co-op for sale,New York,529000,715.0,1,1.0
Co-op for sale,Brooklyn,270000,625.0,1,1.0
Co-op for sale,New York,269000,613.0,2,1.0
House for sale,Queens,1700000,2275.0,3,4.0
Co-op for sale,New York,499000,686.0,2,2.0
House for sale,Queens,3100000,4443.0,6,4.0
House for sale,Queens,1499999,3200.0,5,3.0
House for sale,Queens,1250000,1960.0,4,3.0
Condo for sale,Queens,719000,1450.0,3,2.0
Co-op for sale,Queens,169000,400.0,3,1.0
Multi-family home for sale,Kings County,888000,2980.0,5,4.0
Multi-family home for sale,Queens,1308888,2440.0,4,3.0
House for sale,Queens,1265000,1560.0,3,2.0
Condo for sale,New York,395000,500.0,3,1.0
Multi-family home for sale,Queens,1090000,2905.0,5,3.0
Co-op for sale,Queens,129000,600.0,3,1.0
Co-op for sale,Queens,329000,681.0,1,1.0
Co-op for sale,Queens,560000,1069.0,2,2.0
Co-op for sale,Queens,129000,600.0,3,1.0
House for sale,Queens,1250000,1960.0,4,3.0
Condo for sale,Queens,1078000,1750.0,3,2.0
Co-op for sale,New York,555555,700.0,1,1.0
Co-op for sale,Queens,293900,649.0,1,1.0
Land for sale,Queens,160000,719.0,3,1.0
Condo for sale,Queens,580000,733.0,2,2.0
Condo for sale,Brooklyn,624999,458.0,3,2.0
House for sale,Kings County,551000,1080.0,3,2.0
Townhouse for sale,New York,14800000,9555.0,8,10.0
Condo for sale,New York,995000,1175.0,3,2.0
Co-op for sale,New York,650000,800.0,1,1.0
Co-op for sale,Queens,250000,950.0,2,1.0
Condo for sale,New York,925000,1033.0,2,1.0
House for sale,Kings County,639000,1200.0,3,2.0
Multi-family home for sale,Kings County,681000,3490.0,6,3.0
Co-op for sale,New York,48000000,5500.0,5,6.0
Co-op for sale,New York,4995000,1800.0,2,2.0
Pending,Brooklyn,349750,875.0,1,1.0
Co-op for sale,New York,385000,500.0,1,1.0
Co-op for sale,Brooklyn,175000,300.0,3,1.0
Multi-family home for sale,Queens,915999,1440.0,5,3.0
House for sale,Queens,729000,1379.0,4,2.0
Co-op for sale,Queens,480000,1549.0,2,1.0
Townhouse for sale,Queens,1198000,1960.0,4,2.0
Co-op for sale,Queens,199999,600.0,1,1.0
Co-op for sale,Queens,319000,925.0,2,1.0
Co-op for sale,Queens,319000,925.0,2,1.0
Co-op for sale,Brooklyn,650000,1200.0,3,1.0
House for sale,Queens,649999,1522.0,3,2.0
House for sale,Kings County,4995000,4374.0,4,4.0
Co-op for sale,New York,465000,686.0,2,2.0
Co-op for sale,Queens,298999,950.0,2,1.0
Co-op for sale,Brooklyn,539000,750.0,1,1.0
House for sale,Kings County,2975000,4600.0,3,2.0
Multi-family home for sale,Queens,2099000,2100.0,6,5.0
Co-op for sale,New York,789000,1000.0,2,1.0
House for sale,Kings County,815599,825.0,3,2.0
Co-op for sale,New York,4050000,3111.0,4,3.0
House for sale,Kings County,1299000,2200.0,4,2.0
Multi-family home for sale,Queens,899000,1480.0,4,3.0
Condo for sale,Queens,845000,1200.0,3,2.0
House for sale,Queens,758888,1760.0,3,1.0
Co-op for sale,New York,650000,1060.0,2,1.0
Multi-family home for sale,Queens,1350000,2500.0,5,3.0
Co-op for sale,Queens,695000,1400.0,2,2.0
Co-op for sale,New York,445000,725.0,1,1.0
Co-op for sale,New York,449000,550.0,3,1.0
Multi-family home for sale,Queens,838000,4428.0,8,4.0
Multi-family home for sale,Kings County,679000,3490.0,6,3.0
House for sale,Queens,848724,950.0,2,2.0
Townhouse for sale,New York,1595000,2201.0,3,8.0
Multi-family home for sale,Queens,2399000,3025.0,10,5.0
Co-op for sale,Queens,169000,850.0,1,1.0
Multi-family home for sale,Queens,1630000,3025.0,11,6.0
Co-op for sale,Queens,335000,1100.0,3,2.0
Condo for sale,Queens,599000,705.0,2,2.0
Co-op for sale,Queens,225000,750.0,1,1.0
Co-op for sale,New York,220000,260.0,3,1.0
Co-op for sale,The Bronx,289000,1100.0,3,1.0
Pending,New York,350000,900.0,1,1.0
House for sale,Queens,719999,1400.0,3,2.0
House for sale,Queens,669000,2244.0,4,2.0
Condo for sale,Queens,549000,877.0,3,2.0
Land for sale,Bronx,250000,713.0,3,1.0
Co-op for sale,New York,299000,394.0,3,1.0
House for sale,Queens,1288000,1750.0,5,2.0
Multi-family home for sale,Queens,1198000,5712.0,6,5.0
Co-op for sale,Queens,230000,900.0,1,1.0
Co-op for sale,New York,775000,800.0,1,1.0
Land for sale,Bronx,250000,713.0,3,1.0
Multi-family home for sale,Queens,1198000,5712.0,6,5.0
House for sale,Queens,1288000,1750.0,5,2.0
Co-op for sale,Queens,230000,900.0,1,1.0
Co-op for sale,New York,775000,800.0,1,1.0
Co-op for sale,New York,7495000,4200.0,6,4.0
Multi-family home for sale,Queens,1149999,2600.0,6,3.0
Co-op for sale,The Bronx,192500,700.0,1,1.0
Multi-family home for sale,Kings County,1200000,1800.0,7,3.0
Multi-family home for sale,Queens,649000,1591.0,4,2.0
Co-op for sale,Brooklyn,1895000,1265.0,3,2.0
Condo for sale,Queens,668000,1120.0,2,2.0
Co-op for sale,Brooklyn,385000,850.0,2,1.0
House for sale,Bronx,749000,1600.0,3,2.0
Co-op for sale,Queens,270000,700.0,1,1.0
House for sale,Queens,998000,1305.0,4,2.0
Co-op for sale,New York,395000,440.0,3,1.0
Co-op for sale,Queens,329888,1200.0,3,1.0
Co-op for sale,Queens,599000,1150.0,3,2.0
Co-op for sale,New York,565000,700.0,1,1.0
Pending,Queens,750000,1536.0,4,3.0
House for sale,Queens,1350000,1596.0,6,4.0
Co-op for sale,New York,399000,550.0,3,1.0
Multi-family home for sale,Kings County,1200000,3120.0,5,2.0
Co-op for sale,New York,895000,940.0,2,1.0
Condo for sale,Brooklyn,369000,462.0,3,1.0
Pending,Bronx,1780000,2627.0,4,3.0
Co-op for sale,New York,285000,550.0,3,1.0
Co-op for sale,New York,2950000,1804.0,2,2.0
Co-op for sale,New York,899000,940.0,2,1.0
House for sale,Queens,850000,1680.0,4,2.0
Multi-family home for sale,Kings County,670000,1535.0,3,2.0
Co-op for sale,Queens,199888,1453.0,2,1.0
Co-op for sale,New York,5995000,3800.0,4,4.0
Multi-family home for sale,Queens,1350888,2283.0,4,3.0
